Marke,Modell,url,country,date,Zustand,Garantie,Angebotsnummer,Außenfarbe,Lackierung,Farbe laut Hersteller,Innenausstattung,Karosserieform,Anzahl Türen,Sitzplätze,Schlüsselnummer,Getriebeart,Gänge,Hubraum,Kraftstoff,Schadstoffklasse,haendler,privat,ort,price,ausstattung_liste,Erstzulassung,Zylinder,Leergewicht
Alfa Romeo,147,/angebote/alfa-romeo-147-diesel-schwarz-e58a29a9-dffd-4c90-bf77-606fb9443925?,Oesterreich,2020-10-20 15:37:15.120190,Gebraucht,0,0,Schwarz,Metallic,0,Stoff,Limousine,5.0,5.0,0,Schaltgetriebe,0.0,1.900 cm³,Diesel,Euro 4,1,0,4614 Marchtrenk,1099.0,"['', 'Klimaanlage', 'Klimaautomatik', 'Komfort']",2005.0,0.0,0
Alfa Romeo,159,/angebote/alfa-romeo-159-alfa-1-9-jtdm-16v-sportiva-diesel-schwarz-5aaf1cb2-bd59-e45f-e053-0100007fae48?,Oesterreich,2020-10-20 15:20:23.643207,Gebraucht,0,0,Schwarz,Metallic,0,0,Limousine,4.0,5.0,0,Schaltgetriebe,6.0,1.910 cm³,Diesel (Rußpartikelfilter),Euro 4,0,1,1100 WIEN,2700.0,"['', 'ABS', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Seitenairbag', 'Sicherheit', 'Skisack', 'Soundsystem', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung']",2008.0,4.0,1.660 kg
Alfa Romeo,Alfa 6,/angebote/alfa-romeo-alfa-6-1-ts-1v-corse-147-190-benzin-schwarz-01bfd19f-5c34-4f15-8851-10a417996413?,Deutschland,2020-10-23 09:28:27.221038,Gebraucht,0,0,Schwarz,Metallic,CARBON SCHWARZ,"Stoff, Sonstige",Limousine,5.0,5.0,4136/438,Schaltgetriebe,5.0,1.598 cm³,Benzin,Euro 4,True,False,67227 Frankenthal (Pfalz),2449.0,"['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Getönte Scheiben', 'Klimaanlage', 'Komfort', 'Kopfairbag', 'Lederlenkrad', 'Nebelscheinwerfer', 'Pannenkit', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Spoiler', 'Sportfahrwerk', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank']",2009.0,4.0,1.285 kg
Alfa Romeo,Brera,/angebote/alfa-romeo-brera-2-4-jtdm-20v-leder-pano-navi-diesel-schwarz-cf5e16a8-bdb8-4ff9-8073-f2ae09b83e1f?,Deutschland,2020-10-20 14:42:24.814949,Gebraucht,0,27666Scuderia Cars,Schwarz,Metallic,SCHWARZ,"Vollleder, Schwarz",Coupé,2.0,4.0,4136/AJE,Schaltgetriebe,6.0,2.387 cm³,Diesel (Rußpartikelfilter),Euro 4,1,0,39120 Magdeburg,9999.0,"['', '2-Zonen-Klimaautomatik', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bi-Xenon Scheinwerfer', 'Bluetooth', 'CD', 'DAB-Radio', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Isofix', 'Komfort', 'Kopfairbag', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Navigationssystem', 'Nebelscheinwerfer', 'Panoramadach', 'Radio', 'Regensensor', 'Scheinwerferreinigung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Soundsystem', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung']",2010.0,0.0,0
Alfa Romeo,GT,/angebote/alfa-romeo-gt-2-0-jts-distinctive-benzin-schwarz-eaea0ab2-233d-e05f-e053-0100007fb3fb?,Deutschland,2020-10-19 20:34:53.053500,Gebraucht,0,0,Schwarz,0,0,"Vollleder, Rot",Coupé,2.0,4.0,4136/599,Schaltgetriebe,5.0,1.970 cm³,Benzin,Euro 4,False,True,63594 Hasselroth,2990.0,"['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Getönte Scheiben', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Lederausstattung', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Reserverad', 'Scheinwerferreinigung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportsitze', 'Tempomat', 'Traktionskontrolle', 'Tuning', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung']",2004.0,4.0,1.395 kg
Alfa Romeo,Giulia,/angebote/alfa-romeo-giulia-basis-automatik-navigation-pdc-diesel-schwarz-f87d8377-2767-4246-b1a2-e4ea17b0b1f3?,Deutschland,2020-10-22 20:03:17.710488,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,0,Rot,Metallic,COLORE ESTERNO (MAGNET BLACK),"Vollleder, Schwarz",Limousine,4.0,5.0,1742/AAX,Automatik,8.0,2.143 cm³,Diesel,Euro 6,1,0,84478 Waldkraiburg,17900.0,"['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bi-Xenon Scheinwerfer', 'Bluetooth', 'ESP', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektronische Parkbremse', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Kurvenlicht', 'Lichtsensor', 'Navigationssystem', 'Notbremsassistent', 'Pannenkit', 'Raucherpaket', 'Regensensor', 'Scheinwerferreinigung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung']",2016.0,4.0,1.520 kg
Alfa Romeo,Giulietta,/angebote/alfa-romeo-giulietta-sport-1-6-jtdm-sprint-diesel-rot-48e69ef8-391c-47d9-804f-e6cc060404d8?,Deutschland,2020-10-22 19:28:37.733190,Tageszulassung,0,7550818,Rot,0,(ROSSO ALFA)),"Stoff, Grau",Limousine,5.0,5.0,1742/AAL,Schaltgetriebe,6.0,1.368 cm³,Super 95,Euro 6d-TEMP,True,False,82362 Weilheim,23808.0,"['', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung']",2020.0,4.0,1.355 kg
Alfa Romeo,MiTo,/angebote/alfa-romeo-mito-turismo-145-1-4-leder-klima-tempomat-serviceheft-benzin-schwarz-2ae77ed9-54e2-457c-ad5a-881ed182f9ef?,Deutschland,2020-10-20 15:43:17.996692,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,0,Schwarz,Metallic,SCHWARZ,"Vollleder, Rot",Kleinwagen,3.0,4.0,4136/ALG,Schaltgetriebe,6.0,1.368 cm³,Benzin,Euro 5,1,0,25474 Ellerbek (bei Hamburg-Schnelsen),4450.0,"['', 'ABS', 'Allwetterreifen', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bi-Xenon Scheinwerfer', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Gepäckraumabtrennung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Pannenkit', 'Radio', 'Scheinwerferreinigung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportpaket', 'Tagfahrlicht', 'Tempomat', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank']",2009.0,4.0,1.220 kg
Alfa Romeo,Stelvio,/angebote/alfa-romeo-stelvio-2-0-turbo-16v-q4-sprint-ahkschwenkbar-benzin-grau-d1135635-c79a-4f2b-b1cf-b5049d6da619?,Deutschland,2020-10-21 13:42:16.796494,Gebraucht,0,89895.0,Grau,Metallic,COLORE ESTERNO DEEP BLUE,"Teilleder, Schwarz",SUV/Geländewagen/Pickup,5.0,5.0,0,Automatik,0.0,1.995 cm³,Diesel (Rußpartikelfilter),Euro 6,1,0,69239 NECKARSTEINACH,49990.0,"['', 'ABS', 'Abstandswarner', 'Airbag hinten', 'Allrad', 'Alufelgen', 'Android Auto', 'Anhängerkupplung', 'Apple CarPlay', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bi-Xenon Scheinwerfer', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'E10-geeignet', 'ESP', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Elektronische Parkbremse', 'Extras', 'Fahrerairbag', 'Fernlichtassistent', 'Freisprecheinrichtung', 'Geschwindigkeits-begrenzungsanlage', 'Innenspiegel automatisch abblendend', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Kurvenlicht', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Pannenkit', 'Radio', 'Regensensor', 'Scheinwerferreinigung', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sommerreifen', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'Tuning', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank']",2018.0,4.0,0
Alpina,B3,/angebote/alpina-b3-b3s-e46-2-hand-orig-110000km-top-benzin-silber-e6c99861-0aaf-48de-8b25-b5ddced659f3?,Deutschland,2020-10-19 21:56:22.297954,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,1031069119,Silber,Metallic,TITANSILBER METALLIC,"Vollleder, Schwarz",Limousine,4.0,5.0,0,Automatik,0.0,3.400 cm³,Benzin,Euro 3,True,False,53773 Hennef,23490.0,"['', 'CD', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Freisprecheinrichtung', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lichtsensor', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Schaltwippen', 'Schiebedach', 'Sicherheit', 'Sitzheizung', 'Sportsitze', 'Tempomat', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung']",2004.0,6.0,0
Alpina,B4,/angebote/alpina-b4-s-coupe-allrad-edition-99-diff-sperre-hud-benzin-grau-a6b82577-d4d6-49c0-b084-da0262081322?,Deutschland,2020-10-20 15:18:09.387694,Tageszulassung,0,0,Grau,0,Individual grigio Medio,"Alcantara, Schwarz",Coupé,2.0,4.0,7656/ABR,Automatik,0.0,2.979 cm³,Benzin (Rußpartikelfilter),Euro 6d-TEMP,1,0,13435 Berlin,79900.0,"['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Allrad', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Head-up display', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Skisack', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung']",2020.0,0.0,0
Aston Martin,0,/angebote/aston-martin-others-aston-martin-vantage-dtm-benzin-gruen-89ecb765-31b9-4266-a29e-2e37a1568985?,Oesterreich,2020-10-23 07:10:07.432989,Gebraucht,0,0,Grün,0,0,"Sonstige, Schwarz",Sonstige,2.0,1.0,0,Schaltgetriebe,6.0,2.000 cm³,Benzin,0,True,False,9220 Velden,1200000.0,"['', 'Extras', 'Sportpaket', 'Sportsitze']",2019.0,4.0,0
